generator1;generator2;generator3;generator4;5_6;5_8;5_9;6_7;7_8;external1;consumer1;8_9;consumer2;external2;convergence
166.0;440.0;420.0;117.0;-186.21978082273228;144.30993499269883;207.90984536941892;253.7802172314181;76.74951135522363;411.8591950880301;185.17151042993424;63.59989653173341;274.4595494345982;271.50974127685504;[ True]
183.0;580.0;320.0;196.0;-224.88328372152233;143.6714614827145;264.2118216387367;355.1167136968641;13.438031179470219;518.730614995952;142.94806712788102;120.540355760333;232.56913626396388;384.7521765292153;[ True]
147.0;580.0;300.0;146.0;-236.00398349746155;141.28065570427606;241.72332727944197;343.99601405809364;33.28859914796732;475.89726372512087;134.8101508331506;100.44266673982288;220.12658755716703;342.16599323504397;[ True]
136.0;400.0;620.0;168.0;-194.54058198324057;94.80829607238985;235.73228531962874;205.45941573118043;83.88947004434984;601.4697031052464;140.10024196025213;140.92396895012374;205.77379654415847;376.6562534187915;[ True]
149.0;540.0;360.0;102.0;-227.66452776609768;140.84016825797076;235.8243589982033;312.33546988638574;56.169235244464474;481.9619707102771;134.20426354114278;94.98420093718106;204.02520204565812;330.8085591758624;[ True]
184.0;540.0;340.0;184.0;-209.56316695810142;141.325981277655;252.23718510215252;330.43683061317125;20.452292388597282;494.5118537288565;155.4726841107061;110.91119146300535;234.86708161191254;363.14837574453935;[ True]
199.0;480.0;420.0;197.0;-190.4512954726474;152.37683673213297;237.0744581924436;289.54870234112724;53.279456288545504;459.7491216776172;196.52012398873333;84.69760527672013;317.9586872638488;321.772062739317;[ True]
185.0;520.0;340.0;197.0;-202.38132613261382;162.42144462725642;224.95988102466742;317.6186717401665;47.184086305913716;397.2208661529238;213.21371899528262;62.53844832617635;344.0670821922366;287.4983286909984;[ True]
176.0;560.0;360.0;169.0;-221.18560142432568;162.23490360214038;234.9506973276169;338.8143962951443;44.60610257972471;424.98848144920714;229.2198119643425;72.71581595146712;303.12518977039383;307.6665125717198;[ True]
164.0;440.0;500.0;122.0;-197.75929769617846;158.88590307343313;202.8733941919527;242.24070041281917;114.40447417625656;405.2528364847453;222.5833893806813;43.987474089643186;351.3029028542002;246.8608677042726;[ True]
177.0;440.0;380.0;115.0;-175.97375976070657;152.86140979041642;200.11234953652402;264.02623840064757;64.80894388576199;359.42311954969;219.79417468040558;47.25091997560976;285.41943336893365;247.36326894272332;[ True]
127.0;480.0;420.0;126.0;-213.85764530540646;147.11569175004612;193.74195317433086;266.14235276626215;94.83098377429991;381.8254246695224;209.48594400878585;46.626228160651046;321.3204470420428;240.36818076798198;[ True]
180.0;520.0;580.0;175.0;-230.344925671592;150.23777050847988;260.10715456315336;289.6550718370856;90.9276731888066;570.7734724155607;207.9539257023587;109.86936956103504;306.296073571636;369.9765232791248;[ True]
154.0;540.0;320.0;143.0;-221.1757274329176;158.19326470102575;216.9824622944009;318.8242704274544;60.54475394063459;395.10553529275376;183.17398091114282;58.789173115993385;302.9488451288558;275.77163476925625;[ True]
158.0;500.0;660.0;184.0;-235.73970813550176;123.1107800631501;270.62892741907376;264.2602892190326;94.5901943083112;660.2554074156059;169.41468683963322;147.51814988422623;254.18282380755767;418.1470763537948;[ True]
156.0;420.0;540.0;118.0;-193.1693707498941;132.0531299142317;217.11624033326248;226.83062720041286;98.39190717562704;485.6343080362663;182.80441151534905;85.06308376026637;263.3819528887947;302.17932340066363;[ True]
181.0;420.0;680.0;144.0;-202.44295176296703;137.85065760511213;245.59229355862232;217.5570459689287;122.73656726623214;583.812093034152;191.00838505839863;107.74160967168686;296.8456146803701;353.3339024253694;[ True]
148.0;560.0;640.0;186.0;-262.06081424274817;149.18840783985095;260.8724058285848;297.9391831503265;113.31005185165905;597.550439286124;227.07869145273628;111.68395316569205;336.8145059562752;372.55635813370725;[ True]
103.0;460.0;520.0;121.0;-221.3283938486636;129.65273509068442;194.67565836344173;238.67160416493007;112.30952547598123;437.0310042186868;209.33107406699244;65.02292177247263;297.9393384266377;259.69857952428345;[ True]
189.0;540.0;480.0;198.0;-223.54444773076042;150.8044965800601;261.7399505484273;316.4555497652437;57.89340962939298;541.5042745822784;197.05786508823456;110.93546442482227;295.76244120027275;372.6754141265419;[ True]
103.0;460.0;680.0;194.0;-233.94967008446298;102.2975094792276;234.65216006027168;226.05032751859642;110.19683100235297;609.5582914216195;186.29520447432338;132.35463386198958;274.139706022452;367.00679307960615;[ True]
170.0;520.0;420.0;117.0;-218.1074674256524;160.99395523872653;227.11351170547192;301.89253039106694;77.20890043416097;436.5614496242315;208.12217997943068;66.11953177997343;289.0833234767992;293.23304280719145;[ True]
161.0;460.0;360.0;165.0;-182.97503295559326;128.59454432391422;215.3804881426686;277.0249649857689;34.54461915676495;423.4969316674429;178.98341382126617;86.78590661401473;241.3532563918073;302.1663940707512;[ True]
147.0;400.0;400.0;186.0;-164.6206528598583;103.03781936263451;208.5828329936069;235.37934515116817;32.27912571964986;451.95196205556465;151.14825697317804;105.54500344323998;215.77194112237686;314.12783572984904;[ True]
146.0;560.0;560.0;149.0;-254.94371813898343;127.60247304589359;273.34124446122365;305.0562791125337;77.4898759812639;642.3087201765053;145.25768235843003;145.73877028944068;208.3535780447863;419.08001379533;[ True]
100.0;460.0;320.0;183.0;-194.63436417303112;100.66837063019544;193.96599312622186;265.365633820782;29.937059449897127;410.49834784695435;144.93022620046523;93.29763079487353;220.3077988037492;287.2636232629112;[ True]
168.0;540.0;420.0;160.0;-223.62962999498004;131.14594592950942;260.48368345989684;316.37036745224344;38.40518332194042;557.5643722733013;140.40081138155816;129.3377161219931;200.21341248380813;389.8213986995594;[ True]
165.0;480.0;540.0;167.0;-211.28159319170533;130.20454156551943;246.07705104654426;268.7184044415899;72.7677207098793;550.5897420797223;185.36094113866253;115.87248834045509;254.09977336237893;361.94953856456976;[ True]
144.0;460.0;440.0;188.0;-192.89289480115718;124.85311655708237;212.03977777054686;267.1071031318586;50.6388886479293;437.0520181389122;219.41619597790626;87.1866764006682;276.305328336362;299.22645348763007;[ True]
170.0;480.0;380.0;196.0;-192.0587023327311;149.69003000801675;212.3686718662959;287.94129565559086;53.80746413545508;391.5334249078397;222.6004063110019;62.67865188117342;336.81884186511365;275.047323115846;[ True]
140.0;560.0;560.0;177.0;-254.61011036513563;150.62249344844287;243.98761640080883;305.38988717625284;99.84268734548284;530.5606069007695;234.98659246221413;93.36514312025601;334.10003716560664;337.35275873787134;[ True]
108.0;520.0;320.0;194.0;-219.6375555962047;145.8302112787576;181.80734399558838;300.3624425135864;65.10528774153049;318.8669544205021;236.39020015174546;35.977155941340655;368.9583427795287;217.7844994180732;[ True]
170.0;560.0;500.0;176.0;-243.92093991182708;168.1462017132251;245.77473767806683;316.079057692058;95.98810275464298;497.01981683066856;223.0711376846373;77.62851597888789;362.5057880254429;323.40325290696813;[ True]
176.0;580.0;500.0;107.0;-254.25461818000596;183.34250337394246;246.91211429924599;325.74537941932925;111.85178301757244;485.90300066246664;227.99059533161807;63.569563586105716;338.62472238540414;310.48167715935364;[ True]
113.0;420.0;480.0;178.0;-196.18859150090216;124.06046069710678;185.1281304161128;223.8114066599477;96.43764670326999;403.70110781294767;203.67265177373798;61.06765992259021;337.43044712988626;246.1957897632447;[ True]
156.0;540.0;320.0;103.0;-222.9425160889537;176.89039255433826;202.0521231598736;317.0574819351079;82.77543723479722;335.1510404237602;219.13100405702264;25.161752503393174;337.5040770078092;227.21387512344555;[ True]
117.0;560.0;580.0;187.0;-261.6641414580004;130.0272151661417;248.63692575418588;298.3358559715661;93.35555132299126;579.2118111548945;205.7684929671773;118.60968619352009;291.77307970644364;367.2466110991647;[ True]
169.0;420.0;660.0;102.0;-206.718071174463;148.0871544021841;227.63091624464482;213.28192671329074;141.5232441380579;528.2416773633258;203.5170046610436;79.54374848538862;312.066649639;307.17466402061376;[ True]
118.0;580.0;360.0;118.0;-250.3208983186633;154.41645339223547;213.90444452622702;329.67909945282787;75.05827997939686;407.93871008746146;206.6821090955186;59.48800141320344;287.986731559805;273.39244529439725;[ True]
191.0;520.0;480.0;181.0;-219.95170809794143;165.02656453378412;245.92514301673253;300.0482895847902;84.92995046353592;492.65232029174166;202.4660184017368;80.89859088239005;350.0579236445546;326.8237331489769;[ True]
162.0;460.0;520.0;126.0;-206.76987921850517;152.7238161816512;216.04606256671482;253.2301187351992;106.26358160070404;448.95403011307525;218.01250660860376;63.32221459845072;321.6651828047398;279.3682765170392;[ True]
192.0;560.0;520.0;110.0;-241.30310922242376;168.17230808368322;265.13080054646787;318.69688824164814;90.7785802604705;549.8262463166594;198.0920611793437;96.95845432542193;271.9924334822697;362.08925404117065;[ True]
103.0;540.0;580.0;103.0;-267.1406446244688;146.54039876552346;223.60024541503248;272.8593530475216;140.82166212167505;518.5415682892403;193.4961221505389;77.05982847393378;313.30223198619547;300.6600731770934;[ True]
199.0;500.0;620.0;156.0;-227.6862733152351;160.55403167999003;266.1322410094984;272.3137242019878;115.92649936870632;593.2152821787702;183.1719420732996;105.57823455963648;326.9022959457436;371.7104747197876;[ True]
187.0;540.0;380.0;104.0;-219.7646631705919;173.96330615595326;232.80135652521582;320.23533462037295;73.49267181862177;423.97012377020513;202.77253870602013;58.83805480350221;292.61792276803664;291.63941065407295;[ True]
169.0;400.0;480.0;166.0;-171.85703040064087;124.52052773671578;216.33650214424938;228.1429675990207;68.23460078723194;468.2030317209898;171.7053346480301;91.81596816410057;266.9391598919992;308.1524696103496;[ True]
133.0;500.0;480.0;179.0;-221.9838098962571;128.5117479165103;226.4720614827228;278.01618783804327;72.47940263913335;494.87207692588476;190.66470783826568;97.96029668959758;282.0308533568225;324.432357426295;[ True]
128.0;440.0;500.0;103.0;-204.7607585433003;124.40403854734078;208.35671953472385;235.23923940670383;93.92554727697092;470.1876215040918;171.1260701825959;83.95266513456816;237.37692025308917;292.3093839942241;[ True]
148.0;460.0;340.0;137.0;-188.52227880884755;122.75631493995098;213.76596338611267;271.4777191148722;39.80084831785047;435.5861221013091;136.0907483366992;91.00963534599686;208.5475274272908;304.7755980386234;[ True]
149.0;540.0;640.0;158.0;-252.54305618953052;124.5860007305488;276.95705480485645;287.45694104872643;89.67214703191547;671.3712396304443;166.41355373743946;152.37102325589368;219.8871237992377;429.32807708347593;[ True]
166.0;560.0;300.0;125.0;-225.95342289430604;156.94609899681336;235.0073234029083;334.04657479832;48.852963506051466;439.982740761343;145.2108702073389;78.06122201788438;252.73784001046056;313.0685447002656;[ True]
199.0;460.0;680.0;165.0;-210.28968121788375;132.78997020843434;276.4997103128877;249.71031621355166;93.3692669529332;657.2885424145437;179.05250617834145;143.70976549863855;247.44947099707485;420.2094748648999;[ True]
107.0;520.0;360.0;197.0;-223.23628875321168;122.52176327521488;207.71452505417676;296.7637090844243;48.99431412229161;427.0943834622937;180.67501117216992;85.19277523428576;283.3233016929863;292.907299610123;[ True]
139.0;440.0;420.0;105.0;-194.05219525136613;141.57253656221744;191.47965829106437;245.94780290073726;89.67693605630765;380.9708178403996;195.30004867661842;49.907099520773144;286.3423727729987;241.38675724816082;[ True]
